StudentID,Name,Gender,Subject,Score
1,Student_0001,Male,Mathematics,59.0
2,Student_0002,Female,Mathematics,77.0
3,Student_0003,Male,Mathematics,89.0
4,Student_0004,Male,Social Studies,82.0
5,Student_0005,Male,Computer Science,69.0
6,Student_0006,Female,Social Studies,58.0
7,Student_0007,Male,Computer Science,78.0
8,Student_0008,Male,Social Studies,74.0
9,Student_0009,Male,Social Studies,81.0
10,Student_0010,Female,English,78.0
11,Student_0011,Male,Social Studies,84.0
12,Student_0012,Male,Science,60.0
13,Student_0013,Male,English,88.0
14,Student_0014,Male,Social Studies,71.0
15,Student_0015,Female,Mathematics,99.0
16,Student_0016,Male,Science,58.0
17,Student_0017,Female,Science,94.0
18,Student_0018,Female,Science,71.0
19,Student_0019,Female,English,58.0
20,Student_0020,Male,Social Studies,61.0
21,Student_0021,Female,Social Studies,63.0
22,Student_0022,Male,Mathematics,74.0
23,Student_0023,Female,Mathematics,76.0
24,Student_0024,Female,Science,59.0
25,Student_0025,Female,Mathematics,68.0
26,Student_0026,Female,English,100.0
27,Student_0027,Female,Social Studies,94.0
28,Student_0028,Female,Science,75.0
29,Student_0029,Female,Mathematics,69.0
30,Student_0030,Female,English,70.0
31,Student_0031,Male,English,77.0
32,Student_0032,Male,Mathematics,53.0
33,Student_0033,Female,Social Studies,64.0
34,Student_0034,Female,Mathematics,43.0
35,Student_0035,Female,Science,74.0
36,Student_0036,Male,Mathematics,78.0
37,Student_0037,Female,English,61.0
38,Student_0038,Male,Mathematics,92.0
39,Student_0039,Male,Social Studies,50.0
40,Student_0040,Male,Computer Science,46.0
41,Student_0041,Male,Mathematics,71.0
42,Student_0042,Male,Social Studies,84.0
43,Student_0043,Female,Social Studies,93.0
44,Student_0044,Female,English,61.0
45,Student_0045,Female,Social Studies,84.0
46,Student_0046,Female,Social Studies,67.0
47,Student_0047,Female,Social Studies,65.0
48,Student_0048,Male,Social Studies,81.0
49,Student_0049,Female,Science,78.0
50,Student_0050,Female,Science,44.0
51,Student_0051,Male,English,90.0
52,Student_0052,Female,Mathematics,89.0
53,Student_0053,Male,Social Studies,59.0
54,Student_0054,Female,Mathematics,74.0
55,Student_0055,Male,Mathematics,75.0
56,Student_0056,Female,English,72.0
57,Student_0057,Female,Social Studies,60.0
58,Student_0058,Male,Social Studies,58.0
59,Student_0059,Male,Computer Science,68.0
60,Student_0060,Male,Mathematics,86.0
61,Student_0061,Male,Mathematics,76.0
62,Student_0062,Male,Science,62.0
63,Student_0063,Male,Computer Science,80.0
64,Student_0064,Male,Science,25.0
65,Student_0065,Male,Science,85.0
66,Student_0066,Female,Science,42.0
67,Student_0067,Female,English,63.0
68,Student_0068,Male,English,51.0
69,Student_0069,Female,Science,49.0
70,Student_0070,Female,Computer Science,85.0
71,Student_0071,Female,Mathematics,61.0
72,Student_0072,Female,Computer Science,73.0
73,Student_0073,Male,Social Studies,67.0
74,Student_0074,Female,English,75.0
75,Student_0075,Male,Mathematics,69.0
76,Student_0076,Female,Mathematics,49.0
77,Student_0077,Female,Social Studies,83.0
78,Student_0078,Female,Social Studies,61.0
79,Student_0079,Male,Science,45.0
80,Student_0080,Female,English,62.0
81,Student_0081,Male,English,91.0
82,Student_0082,Female,Computer Science,81.0
83,Student_0083,Male,Science,63.0
84,Student_0084,Female,Science,63.0
85,Student_0085,Male,Science,63.0
86,Student_0086,Male,Science,99.0
87,Student_0087,Female,English,74.0
88,Student_0088,Male,English,74.0
89,Student_0089,Female,Science,83.0
90,Student_0090,Female,Computer Science,72.0
91,Student_0091,Female,Mathematics,64.0
92,Student_0092,Female,Mathematics,65.0
93,Student_0093,Female,Computer Science,67.0
94,Student_0094,Female,Science,67.0
95,Student_0095,Female,English,79.0
96,Student_0096,Female,Mathematics,69.0
97,Student_0097,Female,Social Studies,79.0
98,Student_0098,Female,Social Studies,67.0
99,Student_0099,Female,Computer Science,69.0
100,Student_0100,Male,Science,38.0
101,Student_0101,Male,Mathematics,82.0
102,Student_0102,Female,Science,73.0
103,Student_0103,Female,Mathematics,83.0
104,Student_0104,Female,Computer Science,25.0
105,Student_0105,Female,Computer Science,99.0
106,Student_0106,Female,Social Studies,66.0
107,Student_0107,Female,Science,85.0
108,Student_0108,Female,Social Studies,52.0
109,Student_0109,Female,Science,77.0
